,pergunta,resposta_rag,ground_truth,bertscore_precision,bertscore_recall,bertscore_f1
0,O que é o Manual Siafi?,"Com base no contexto fornecido, o Manual Siafi é:

1. Um documento que registra, de forma estruturada e sistemática, as normas e procedimentos operacionais do Sistema Integrado de Administração Financeira do Governo Federal (Siafi) do ponto de vista do usuário [Fonte 2]

2. Uma norma referente à contabilidade e execução orçamentária, financeira e patrimonial da União, que padroniza os conceitos, normas e procedimentos dos atos e fatos da administração pública federal [Fonte 1]

3. Uma fonte de consulta que permite o acesso direto dos usuários em matéria pertinente à contabilidade e execução orçamentária, financeira e patrimonial da União [Fonte 4]

4. Um instrumento eficiente de orientação comum aos gestores da União, estabelecendo prazos para padronização de procedimentos relativos ao registro, mensuração, evidenciação e reconhecimento das operações de natureza contábil [Fontes 4, 7]","1.1 - O Manual SIAFI é um documento que registra, de forma estruturada e sistemática, as normas e procedimentos operacionais do Sistema Integrado de Administração Financeira do Governo Federal – SIAFI, do ponto de vista do usuário.",0.7003846764564514,0.8599700331687927,0.7720165252685547
1,Quais princípios devem ser observados na elaboração e atualização do manual?,"Com base no contexto fornecido, os princípios que devem ser observados na elaboração e atualização do manual são:

1. **Universalidade** - atendimento a todos os usuários e em todos os níveis de conhecimento [Fontes 1, 6]
2. **Unidade** - endereço único de informações, normas e instruções [Fonte 6]
3. **Modularidade** - cada capítulo/volume é autossuficiente e cada parte reporta ao todo (visão sistemática) [Fonte 6]

Além desses princípios específicos, o contexto também menciona outros atributos que devem ser observados na elaboração dos conteúdos:
- Precisão (exatidão, correção e rigor) [Fonte 9]
- Atualidade (compatibilidade permanente com a atualidade) [Fonte 9]
- Abrangência (adequação às necessidades dos usuários internos ou externos) [Fonte 9]
- Tempestividade (conteúdos elaborados e disponibilizados no tempo devido) [Fonte 2]
- Adequabilidade (linguagem clara, simples, concisa e homogênea) [Fonte 2]
- Qualidade (respeito às informações e documentos) [Fonte 2]","3 - PRINCÍPIOS 3.1 - Na elaboração e atualização do Manual, devem ser observados os seguintes princípios: 3.1.1 - Universalidade - atendimento a todos os usuários e em todos os níveis de conhecimento; 3.1.2 - Unidade - endereço único de informações, normas e instruções; 3.1.3 - Modularidade - cada capítulo/volume é autossuficiente; e, cada parte reporta ao todo (visão sistemática).",0.7329165935516357,0.8236362934112549,0.7756327390670776
2,Como o manual está estruturado?,"O manual está estruturado de forma modular, organizado em capítulos, seções e assuntos identificados por um código estruturado de seis posições no formato XX.YY.ZZ, onde:
- XX identifica os capítulos
- YY identifica as seções dos capítulos  
- ZZ identifica os assuntos das seções

Esta estrutura garante flexibilidade no uso, permitindo consulta no nível de interesse do usuário sem prejudicar a visão sistêmica do conjunto, mantendo uma sequência lógica na organização. [Fontes 1, 3, 5, 10]","7.1 - O Manual está estruturado em módulos, o que garante maior flexibilidade no seu uso, possibilitando a consulta no nível de interesse e de conhecimento do usuário.",0.668895959854126,0.7669858932495117,0.7145904898643494
3,Qual o significado de Comissão de Repasse Vencida?,"Com base no contexto fornecido, a Comissão de Repasse Vencida é um percentual aplicado sobre o saldo devedor do início do período. [Fonte 1]

Esta comissão aparece listada como item 18 nos códigos de classificação de despesas dos sistemas financeiros mencionados nas fontes. [Fontes 2, 3, 4]",COMISSÃO DE REPASSE VENCIDA - É um percentual aplicado sobre o saldo devedor do início do período.,0.6904354095458984,0.7759944200515747,0.7307189702987671
4,Em qual ano o SIAFI foi implantado como sistema computacional?,"Com base no contexto fornecido, o SIAFI foi implantado em 1º de janeiro de 1987. [Fonte 5]","1 - O SIAFI, como sistema computacional, foi implantado em 1987, tornando-se, desde então, em importante instrumento para o acompanhamento e controle da execução orçamentária, financeira e contábil do Governo Federal, se configurando, atualmente, no maior e mais abrangente instrumento de administração das finanças públicas, dentre os seus congêneres conhecidos no mundo.",0.760686993598938,0.6409058570861816,0.6956781148910522
5,Qual decreto viabilizou a implantação do SIAFI?,"O decreto que viabilizou a implantação do SIAFI foi o Decreto nº 92.452, de 10 de março de 1986. [Fonte 1]","4.1 - A implantação do SIAFI foi viabilizada a partir da criação da STN, vinculada ao Ministério da Fazenda, através do Decreto n. 92.452, de 10 de março de 1986, com o objetivo de promover a modernização e a integração dos sistemas de programação financeira, de execução orçamentária e de contabilidade dos Órgãos e Entidades Públicas do Governo Federal. Para desincumbir-se de suas atribuições, recebeu competente autorização para contratar, junto ao Serviço Federal de Processamento de Dados - SERPRO, a implementação de um sistema computacional, que fornecesse todas as informações necessárias, de maneira segura e tempestiva.",0.8352885842323303,0.6577751636505127,0.735979437828064
6,Quantos operadores acessam o sistema para exercício de suas funções diariamente?,"Com base no contexto fornecido, aproximadamente 30.000 operadores acessam o sistema para exercício de suas funções diárias em todo o Brasil. [Fonte 2]","2 - São cerca de 5.000 UG Executoras e 30.000 operadores, em todo o Brasil, que acessam o Sistema para o exercício de suas funções diárias, compreendendo a inclusão de dados (diretamente ou por integração) e consultas, sob a forma on-line ou por meio de relatórios impressos.",0.8055336475372314,0.7257676124572754,0.7635731101036072
7,O que é o Plano Interno (PI)?,"Com base nos trechos fornecidos, o Plano Interno (PI) é:

1. Um instrumento de detalhamento e acompanhamento das ações do órgão, usado como forma de detalhamento do projeto ou atividade, de uso exclusivo de cada ministério ou órgão [Fonte 11]

2. Representa o detalhamento de subprojeto ou subatividade, em nível de execução orçamentária, respeitadas as características e definições conceituais destes adotadas no âmbito do sistema de orçamento federal [Fonte 5]

3. Constitui-se como detalhamento das subações do órgão e pode ser associado ao desdobramento de célula orçamentária [Fontes 10, 14]

4. É um código alfanumérico que pode ter até 11 posições [Fontes 1, 11]

5. Funciona como centro de custo vinculado a propostas dentro da UGR (Unidade Gestora Responsável) [Fontes 8, 16]","a) O PI é o instrumento de detalhamento e de acompanhamento das Ações e e Subações do Órgão, constituindo-se detalhamento das Subações. Pode ser associado a um centro de custo dentro da organização permitindo, dessa forma acompanhar as despesas realizadas por PI. Bem como acompanhar as metas Finalísticas, PI - Físicos, onde não ocorre dispêndio Financeiro.",0.6843501925468445,0.7615132331848145,0.7208726406097412
8,O que é o Limite de Saque com Vinculação de Pagamento?,"O Limite de Saque com Vinculação de Pagamento é um mecanismo pelo qual o órgão central de programação financeira controla os pagamentos dentro de cada fonte de recursos, representando o valor disponível para saque da Conta Única do Tesouro Nacional [Fonte 1, Fonte 5]. 

Ele é operacionalizado através da liberação de cotas financeiras e fixação de limites para os OSPF (Órgãos Setoriais de Programação Financeira), com informações específicas de categoria de gasto, código de vinculação de pagamento, fonte de recursos e recurso [Fonte 4].

Existem contas específicas para este limite:
- 11112.20.01 para órgãos que pertencem ao OFSS
- 11111.20.01 para órgãos que não pertencem ao OFSS [Fonte 5]

O saldo desta conta demonstra o total dos recursos não utilizados [Fonte 7] e é utilizado para controlar pagamentos vinculados a fontes específicas do Tesouro Nacional [Fonte 1].","8.2.1 - O Limite de Saque com Vinculação de Pagamento é o processo pelo qual o órgão central de programação financeira controla os pagamentos dentro de cada fonte de recursos, de forma a vincular a liberação com a respectiva despesa.",0.6894039511680603,0.8336951732635498,0.7547147870063782
9,Qual a finalidade da Conta Única do Tesouro Nacional?,"A Conta Única do Tesouro Nacional tem por finalidade acolher as disponibilidades financeiras da União a serem movimentadas pelas unidades gestoras (UG) da administração federal, direta e indireta, e outras entidades integrantes do Sistema Integrado de Administração Financeira do Governo Federal (SIAFI), na modalidade ""on-line"". [Fontes 1, 2, 4]

Adicionalmente, é utilizada para registrar a movimentação dos recursos financeiros de responsabilidade dos órgãos e entidades da administração pública e das pessoas jurídicas de direito privado que façam uso do SIAFI por meio de acordo de cooperação técnica firmado com a STN. [Fonte 3]","3.1.1 A CONTA ÚNICA do Tesouro Nacional, mantida no Banco Central do Brasil, é utilizada para registrar a movimentação dos recursos f i n a n c e i r o s d e r e s p o n s a b i l i d a d e d o s ó r g ã o s e e n t i d a d e s d a Administração Pública e das pessoas jurídicas de direito privado que façam uso do SIAFI por meio de acordo de cooperação técnica firmado com a STN.",0.69772869348526,0.6568674445152283,0.6766817569732666
